Question,Answer
Welche Vorteile hat Kaufland Scan?,"Einkaufen wird dadurch einfach entspannt, denn du sparst jede Menge Zeit und Arbeit. An der SB-Kasse musst du lediglich bezahlen – ohne deine Einkäufe aus- und wieder einzuräumen. Außerdem hast du während deines Einkaufs jederzeit den Überblick über den aktuellen Einkaufsbetrag und deine eingescannten Artikel."
Kann ich Kaufland Scan in jeder Kaufland-Filiale nutzen?,"Kaufland Scan ist bereits in einigen ausgewählten Kaufland-Filialen verfügbar. Wir arbeiten stetig daran, den Service an noch mehr Standorten anbieten zu können."
Muss ich mich für Kaufland Scan registrieren?,Die Nutzung von Kaufland Scan ist nur mit Kaufland Card XTRA möglich. Du kannst dich für Kaufland Card XTRA online registrieren.
Muss ich bei der Registrierung für Kaufland Scan etwas beachten?,"Bevor du Kaufland Scan das erste Mal nutzt, musst du initial einmal der Kaufland-App die Berechtigung zur Nutzung der Kamera deines Smartphones freigeben."
Wie funktioniert die Bezahlung meines Einkaufs mit Kaufland Scan?,"Zum Abschluss des Einkaufs wird ein QR-Code erzeugt, der die nachfolgenden Informationen enthält: Kartennummer, Transaktions-ID und ob eine Überprüfung stattfinden muss. Zum Abschluss deines Einkaufs musst du dich zu den SB-Kassen begeben, um dort den auf dem mobilen Scangerät angezeigten Barcode zu scannen. An der Kasse wird der erzeugte QR-Code gescannt, um anschließend den Bezahlvorgang abzuschließen."
Muss ich meinen Einkauf mit Kaufland Scan mit Karte bezahlen?,An der SB-Kasse stehen dir wie gewohnt alle Bezahlarten der SB-Kassen zur Verfügung.
"Wie entferne ich einen Artikel wieder, nachdem ich ihn bereits eingescannt habe?","Solltest du dich gegen ein Produkt entscheiden oder einen Artikel falsch beziehungsweise versehentlich zu oft gescannt haben, kannst du dies mit der (+/-)-Taste am mobilen Scangerät korrigieren."
Wie kann ich Coupons oder Leergutbons mit Kaufland Scan einlösen?,Alle Coupons oder Leergutbons kannst du wie üblich an der SB-Kasse einlösen: Vor Abschluss des Zahlvorgangs scannst du dazu einfach den Code auf dem Bon ein.
Wie ist die Vorgehensweise bei einem Artikel mit einer Diebstahlsicherung?,Den Artikel scannst du wie alle anderen Artikel mit dem Handscanner ab. Diebstahlsicherung wird von einem Mitarbeiter an der Kasse während des Bezahlvorgangs entfernt.
Kann ich auch Artikel mit Altersbeschränkung kaufen?,Beim Scannen von altersbeschränkten Artikeln erscheint ebenfalls ein Hinweis. Die Alterskontrolle erfolgt dann an der SB-Kasse.
"Gibt es Artikel, die ich nicht mit Kaufland Scan kaufen kann?","Gutscheine, Geschenk- oder Aufladekarten können nicht mit deinem Kaufland-Scan-Gerät gescannt werden. Diese Artikel kannst du aber wie gewohnt direkt an der SB-Kasse kaufen."
Sehe ich meinen Einkauf mit Kaufland Scan ebenfalls in meiner Kaufland-App?,"Ja, dein Einkauf wird ganz normal in deinem Kundenkonto gespeichert."
Bekomme ich Treuepunkte bei der Nutzung von Kaufland Scan?,Die digitalen Treuepunkte werden wie gewohnt deinem Konto gutgeschrieben. Klebepunkte werden gerne von einem Mitarbeiter oder mit Kassenzettel an der Information ausgegeben.
"Kann ich Kaufland Card XTRA auch nutzen, wenn ich nicht in Deutschland lebe?","Ja. Die Teilnahme am Vorteilsprogramm ist möglich mit einem ständigen Wohnsitz in Deutschland beziehungsweise in folgenden Ländern: Albanien, Andorra, Belgien, Bosnien und Herzegowina, Bulgarien, Dänemark, Estland, Finnland, Frankreich, Griechenland, Vatikanstadt, Irland, Island, Italien, Kosovo, Kroatien, Lettland, Liechtenstein, Litauen, Luxemburg, Malta, Moldau, Monaco, Montenegro, Niederlande, Nordmazedonien, Norwegen, Österreich, Polen, Portugal, Rumänien, Russland, San Marino, Schweden, Schweiz, Serbien, Slowakei, Slowenien, Spanien, Tschechien, Türkei, Ukraine, Ungarn, Vereinigtes Königreich, Weißrussland, Zypern."
Ist Kaufland Card XTRA auch in anderen Ländern gültig?,Die in Deutschland ausgestellte Kaufland Card XTRA Karte ist nur in den Kaufland-Filialen in Deutschland sowie auf dem Online-Marktplatz Kaufland.de gültig.
Ich habe kein Smartphone – wie kann ich bei dem Kaufland Card XTRA Vorteilsprogramm teilnehmen?,"Eine Neuanmeldung ohne Smartphone mit einer physischen Karte aus Kunststoff ist leider nicht mehr möglich. Um Kaufland Card XTRA auf unserem Online-Marktplatz Kaufland.de zu nutzen, kann die Registrierung auch über einen PC, Laptop oder mobilen Browser erfolgen. Mitglieder, die bereits eine physische Kaufland Card besitzen, können sie weiterhin nutzen. Die Kaufland Card XTRA Vorteile wie beispielsweise Coupons und Prämien können vor dem Einkauf in unserem Loyalty-Bereich aktiviert werden. Die volle Vorteilswelt wie zum Beispiel die Teilnahme am Glücksrad oder die Nutzung von digitalen Services ist jedoch nur in der Kaufland-App möglich."
"Was passiert, wenn ich meine digitale oder physische Kaufland Card XTRA Karte vergessen habe?",In diesem Fall wird bei diesem Einkauf der volle Preis berechnet und aktivierte Coupons können nicht eingelöst werden. Treuepunkte dagegen kann unser Kundenmanagement auch im Nachhinein gutschreiben.
"Kann ich Einkäufe, bei denen ich Kaufland Card XTRA verwende, danach einsehen?","Ja. Jeder Einkauf in der Kaufland-Filiale mit der digitalen Karte generiert einen digitalen Kassenbon, der in der Kaufland-App angezeigt wird. Auch wenn eine physische Karte aus Kunststoff mit der Kaufland-App verknüpft ist, wird der digitale Kassenbon in der Kaufland-App unter „Services“ und „Digitale Kassenbons“ angezeigt."
Ich habe eine physische Kaufland Card XTRA Karte aus Kunststoff und möchte Kaufland Card XTRA auch digital (in der Kaufland-App) verwenden. Ist das möglich und was muss ich tun?,"Einfach die Kaufland-App im Play Store oder App Store runterladen oder aktualisieren. Deine Heimat-Filiale auswählen und mit dem Login fortfahren – und zwar mit den gleichen Daten, die bereits bei der Registrierung der physischen Karte hinterlegt sind (E-Mail-Adresse oder Handynummer und Passwort)."
Ich habe ein digitales Kaufland Card XTRA Konto und möchte auch eine physische Karte verwenden. Ist das möglich und was muss ich tun?,Eine Ausgabe neuer phyisischer Karten ist leider nicht mehr möglich.
Können zwei verschiedene digitale Konten zusammengeführt werden?,Nein. Nur physische Karten können mit einem Kaufland Card XTRA Konto in der Kaufland-App verknüpft werden.
Können zwei verschiedene digitale Konten zusammen Treuepunkte sammeln und Coupons nutzen?,Nein. Zwei digitale Konten sind nicht kombinierbar. Die Anmeldung für dasselbe Kaufland Card XTRA Konto auf verschiedenen Geräten ist aber möglich.
"Was passiert, wenn ich eine der physischen Karten lösche, die mit meinem digitalen Kaufland Card XTRA Konto in der Kaufland-App verbunden ist?",Diese Karte wird unwiderruflich inaktiv.
Wie nutze ich Kaufland Card XTRA auf dem Online-Marktplatz Kaufland.de?,"Wenn du dich mit deinem Kaufland Card XTRA Konto auf unserem Online-Marktplatz Kaufland.de eingeloggt hast, dann ist Kaufland Card XTRA automatisch hinterlegt – einfach vor Abschluss der Bestellung nochmal prüfen, dass der Haken bei „Kaufland Card XTRA“ gesetzt ist. Der Online-Einkauf ermöglicht das Sammeln von Treuepunkten, die Teilnahme am monatlichen Gewinnspiel und das Einlösen von Kaufland Card XTRA Coupons."
Wieso habe ich keinen Willkommenscoupon für den Online-Marktplatz Kaufland.de bekommen?,"Um den Willkommenscoupon zu erhalten, ist deine Erlaubnis zum E-Mail-Kontakt nötig. Du kannst sie nachträglich in den Einstellungen des Kaufland Card XTRA Kontos erteilen: in der Kaufland-App (unter „Services“> „Mein Profil bearbeiten“), in unserem Loyalty-Bereich und auf Kaufland.de ."
Welche Vorteile erhalte ich als Kaufland Card XTRA Mitglied auf dem Online-Marktplatz Kaufland.de?,"Kaufland Card XTRA Mitglieder können exklusive Coupons nutzen, mit denen sie auf unserem Online-Marktplatz Kaufland.de Geld sparen. Diese Coupons müssen vor der Bestellung aktiviert werden. Das geht ganz einfach im Kaufland Card XTRA Bereich auf unserem Online-Marktplatz Kaufland.de oder in der Kaufland-App. Aktivierte Coupons werden beim Bezahlvorgang automatisch eingelöst und die Ersparnis wird angezeigt. Außerdem sammeln Kaufland Card XTRA Mitglieder auch auf dem Online-Marktplatz Kaufland.de pro 1 Euro Einkaufswert 1 Treuepunkt (exklusive Versandkosten). Die gesammelten Treuepunkte können anschließend für Coupons für die Filiale oder auf dem Online-Marktplatz Kaufland.de verwendet werden. Auf dem Online-Marktplatz Kaufland.de gesammelte Treuepunkte sind jedoch erst 30 Tage nach dem Einkauf einsatzbereit. Tolles Extra: Ein Kauf auf dem Online-Marktplatz Kaufland.de sichert dir automatisch die Teilnahme an unserem monatlichen Gewinnspiel."
"Gibt es auch Coupons, die ich auf dem Online-Marktplatz Kaufland.de einlösen kann?","Ja, es gibt auch für unseren Online-Marktplatz Kaufland.de exklusive Coupons für Kaufland Card XTRA Mitglieder. Diese Coupons müssen vor der Bestellung aktiviert werden. Das geht ganz einfach im Kaufland Card XTRA Bereich auf unserem Online-Marktplatz Kaufland.de, in der Kaufland-App oder in unserem Loyalty-Bereich . Aktivierte Coupons werden beim Bezahlvorgang automatisch eingelöst und die Ersparnis angezeigt."
"Gibt es Coupons, die ich sowohl in der Kaufland-Filiale als auch auf dem Online-Marktplatz Kaufland.de einlösen kann?","Nein. Für die Kaufland-Filialen gelten andere Coupons als für den Online-Marktplatz Kaufland.de. Jeder Coupon ist so gekennzeichnet, dass klar ersichtlich ist, wo er eingelöst werden kann."
Kann ich auch bei meinem Einkauf auf dem Online-Marktplatz Kaufland.de Treuepunkte sammeln?,"Ja, pro 1 Euro Einkaufswert erhalten Kaufland Card XTRA Mitglieder auch auf dem Online-Marktplatz Kaufland.de 1 Treuepunkt (exklusive Versandkosten). Auf dem Online-Marktplatz kaufland.de gesammelte Treuepunkte werden jedoch erst 30 Tage nach dem Einkauf gutgeschrieben."
Was sind Partnervorteile und wie erhalte ich sie?,"Partnervorteile bieten Kaufland Card XTRA Mitgliedern auch bei anderen Unternehmen attraktive Vorteile. Mitglieder mit einem digitalen Kaufland Card XTRA Konto können ihre Vorteile in der Kaufland-App im Partnerbereich einsehen. Wenn du keine Kaufland-App hast, siehst du deine Vorteile auch in unserem Loyalty-Bereich ."
Welche Partner hat Kaufland?,"Die aktuellen Partner findest du in der Kaufland-App, unter kaufland-xtra.de/partnervorteile und in unserem Loyalty-Bereich . Die Partnervorteile wechseln regelmäßig."
Wo finde ich die Partner in der Kaufland-App?,Die Partner findest du in der unteren Navigationsleiste unter „Vorteile“ und anschließend oben rechts unter „Treue und Partner“.
Welche Vorteile habe ich bei den Partnern?,"Die Vorteile unterscheiden sich von Partner zu Partner und reichen von Rabatten bis hin zu Gratisartikeln. Die aktuellen Partner findest du in der Kaufland-App, unter kaufland-xtra.de/partnervorteile und in unserem Loyalty-Bereich ."
Wie lange gelten die Vorteile bei den Partnern?,Die Gültigkeit der Vorteile hängt vom jeweiligen Partner ab. Den genauen Zeitraum und die Einlösekonditionen findest du beim jeweiligen Partnervorteil.
Kann ich die Vorteile direkt in der Kaufland-App aktivieren?,"Das variiert von Partner zu Partner. Die meisten Partner generieren einen individuellen Rabattcode, der direkt in der Kaufland-App abzurufen und auf der Seite des Partners einzulösen ist. Bei anderen Partnern ist das Einlösen auch via QR-Code in den jeweiligen Stores möglich."
Kann ich Kaufland Card XTRA bei den Partnerunternehmen einsetzen?,Nein. Kaufland Card XTRA ist nur in den Kaufland-Filialen und auf dem Online-Marktplatz Kaufland.de einsetzbar. Ein übergreifender Einsatz bei unseren Partnern ist nicht möglich.
Kann ich bei einem Einkauf bei den Partnern Treuepunkte von Kaufland sammeln?,"Nein, das ist aktuell leider nicht möglich."
Ich habe keine Kaufland-App und nur eine physische Kaufland Card XTRA Karte. Kann ich trotzdem die Partnervorteile nutzen?,Ja. Mit der physischen Kaufland Card XTRA Karte sind alle Partnervorteile nutzbar. Die Vorteile findest du in unserem Loyalty-Bereich .
"Werde ich informiert, sobald es neue XTRA Partnervorteile gibt?","Ja, du erhältst monatlich eine E-Mail von uns. Achtung: Vorab muss die Einwilligung zur E-Mail-Benachrichtigung erteilt sein! Die individuellen Einstellungen dazu sind jederzeit abrufbereit und änderbar. Du findest sie in der Kaufland-App im Bereich „Services“ und „Mein Profil bearbeiten“."
Was sind Treueaktionen?,Im Rahmen der Treueaktionen wird für einen begrenzten Zeitraum ein besonderes Waren-Sortiment zu Treuepreisen angeboten. Die Treueartikel können nach Aktivierung des entsprechenden Coupons mit Treuepunkten zum attraktiven Treuepreis gekauft werden. Die Treueartikel sind außerdem ohne Einlösung von Treuepunkten zum UVP erhältlich.
Wie kaufe ich Treueartikel mit digitalen Treuepunkten?,Einfach vor dem Einkauf die Coupons für die gewünschten Treueartikel auswählen und mit Treuepunkten aktivieren: in der Kaufland-App oder in unserem Loyalty-Bereich . Beim Bezahlen Kaufland Card XTRA an der Kasse scannen und sofort gibt es die Treueartikel zu den vergünstigten Treuepreisen.
Kann ich einen Treueartikel mehrmals kaufen?,"Ja. Nach dem Kauf eines Treueartikels mit aktiviertem Coupon erscheint nach kurzer Zeit wieder ein identischer Coupon, den du bei ausreichender Treuepunktezahl erneut aktivieren und einlösen kannst."
Kann ich mehrere Treueartikel aktivieren?,"Ja. Je höher der Treuepunktestand, desto mehr Coupons können aktiviert werden."
Kann ich Klebepunkte und digitale Treuepunkte parallel sammeln?,"Nein, denn Kaufland Card XTRA Mitglieder sammeln automatisch beim Scannen von Kaufland Card XTRA beim Bezahlen an der Kasse digitale Treuepunkte. Und dabei gibt es folgende Vorteile: Mit Kaufland Card XTRA gibt es je ausgegebenen Euro einen digitalen Treuepunkt. Beim Sammeln von Klebepunkten gibt es einen Klebepunkt je 5 Euro Einkaufswert. Die digitalen Treuepunkte sind im Gegensatz zu Klebepunkten ein Jahr lang und aktionsübergreifend gültig. Das heißt zum Start einer neuen Treueaktion können mit bestehenden digitalen Treuepunkten ab dem ersten Tag neue Treueartikel gekauft werden."
Kann ich weiterhin beklebte Sammelkarten einlösen?,"Kaufland Card XTRA Mitglieder sammeln automatisch beim Scannen von Kaufland Card XTRA an der Kasse digitale Treuepunkte (je 1 Euro Einkaufswert einen digitalen Treuepunkt). Für 100 Treuepunkte (Coupon muss vorher in der Kaufland-App oder in unserem Loyalty-Bereich aktiviert werden) kann ein Artikel aus dem Treuesortiment zum Treuepreis erworben werden. Kunden ohne Kaufland Card XTRA können weiterhin mit einer Sammelkarte Aufkleber für die Treueaktion sammeln. Sie erhalten je 5 Euro Einkaufswert einen Aufkleber (Wert: 5 Treuepunkte). Für jede vollständig beklebte Sammelkarte (100 Punkte) kann ein Artikel aus dem aktuellen Treuesortiment zum Treuepreis erworben werden. In Treueaktionswochen oder bei ausgewählten Treueaktionen kann die Anzahl an benötigten Treuepunkten abweichen. Keine Treuepunkte bekommst du für Presse- und Verlagserzeugnisse, Kalender und Planer, Tabakerzeugnisse, E-Zigaretten, Lesehilfen und Kontaktlinsen, Säuglingsanfangsnahrung, Gutschein-, Prepaid- und Telefonkarten, Versandkosten und Pfand sowie auf alle Produkte, die Kaufland ausschließlich aufgrund von Vermittlungs- und Kommissionsverträgen vertreibt."
Wie und wo kann ich Treuepunkte sammeln?,"Bei jedem Einkauf in der Kaufland-Filiale oder auf unserem Online-Marktplatz Kaufland.de sammelst du Treuepunkte. Dabei erhältst du pro 1 Euro 1 Treuepunkt. Zusätzlich kannst du dir Treuepunkte ganz einfach durch bestimmte Aktivitäten innerhalb der Kaufland-App (zum Beispiel bei In-App-Spielen) oder auf dem Online-Marktplatz Kaufland.de (zum Beispiel für das Schreiben von Bewertungen) sichern. Keine Treuepunkte bekommst du für Presse- und Verlagserzeugnisse, Kalender und Planer, Tabakerzeugnisse, E-Zigaretten, Lesehilfen und Kontaktlinsen, Säuglingsanfangsnahrung, Gutschein-, Prepaid- und Telefonkarten, Versandkosten und Pfand sowie auf alle Produkte, die Kaufland ausschließlich aufgrund von Vermittlungs- und Kommissionsverträgen vertreibt. Kaufland-Filiale: Beim Bezahlen in der Filiale hältst du einfach den QR-Code von Kaufland Card XTRA (in der Kaufland-App) oder deine physische Karte aus Kunststoff unter den Scanner an der Kasse. Die Punkte werden automatisch deinem Kaufland Card XTRA Konto gutgeschrieben. Online-Marktplatz Kaufland.de : Sobald du mit deinem Kaufland Card XTRA Kundenkonto eingeloggt bist, ist Kaufland Card XTRA automatisch hinterlegt. Einfach vor Abschluss der Bestellung noch einmal prüfen, dass der Haken bei „Kaufland Card XTRA“ gesetzt ist. Die gesammelten Treuepunkte können jedoch erst 30 Tage nach dem Einkauf verwendet werden."
Wie viele Treuepunkte erhalte ich für meinen Einkauf bei Kaufland?,"Für 1 Euro erhältst du jeweils 1 Treuepunkt. Das gilt für Einkäufe in unseren Kaufland-Filialen und auf unserem Online-Marktplatz Kaufland.de . Keine Treuepunkte bekommst du für Presse- und Verlagserzeugnisse, Kalender und Planer, Tabakerzeugnisse, E-Zigaretten, Lesehilfen und Kontaktlinsen, Säuglingsanfangsnahrung, Gutschein-, Prepaid- und Telefonkarten, Versandkosten und Pfand sowie auf alle Produkte, die Kaufland ausschließlich aufgrund von Vermittlungs- und Kommissionsverträgen vertreibt. Die gesammelten Treuepunkte können anschließend für Vorteile in unseren Kaufland-Filialen oder auf unserem Online-Marktplatz Kaufland.de verwendet werden. Auf dem Online-Marktplatz Kaufland.de gesammelte Treuepunkte können jedoch erst 30 Tage nach dem Einkauf eingelöst werden."
Für welche Interaktionen erhalte ich Treuepunkte?,"Bei Kaufland Card XTRA sammelst du nicht nur beim Einkaufen in einer unserer Kaufland-Filialen oder auf unserem Online-Marktplatz Kaufland.de Treuepunkte – du kannst dir auch durch bestimmte Aktivitäten zusätzliche Treuepunkte sichern. Programmanmeldung: Du erhältst einmalig Punkte als Willkommensgeschenk, wenn du dich für Kaufland Card XTRA registrierst. Glücksrad & Mein Geschenk des Tages: Bei den In-App-Spielen können Treuepunkte mögliche Gewinne sein. Bewertungen auf unserem Online-Marktplatz Kaufland.de : Durch das Schreiben von Bewertungen können Treuepunkte gesichert werden."
Verfallen meine Treuepunkte?,"Ja. Gesammelte und nicht eingelöste Treuepunkte verfallen nach einem Jahr. Darüber informieren wir dich jedoch rechtzeitig vor Ablauf des Jahres per E-Mail, sofern du der E-Mail-Kommunikation zugestimmt hast."
Werden die Treuepunkte automatisch gutgeschrieben?​,"Bei Einkäufen in der Kaufland-Filiale werden die Treuepunkte automatisch sofort gutgeschrieben. Beim Online-Marktplatz Kaufland.de werden sie nach 30 Tagen verfügbar sein, da der Einkauf innerhalb dieses Zeitraums theoretisch noch retourniert werden kann."
"Können Treuepunkte nachträglich gutgeschrieben werden, wenn ich vergessen habe, Kaufland Card XTRA einzuscannen?","Ja, dazu musst du dich bitte an unser Kundenmanagement wenden: Hier geht es direkt zum Kontaktformular: https://filiale.kaufland.de/service/kontakt.html"
Kann ich meine gesammelten Treuepunkte sofort nach dem Einkauf sehen und verwenden?,"Circa fünf Minuten nach dem Scannen von Kaufland Card XTRA sind alle gesammelten Treuepunkte auf dem Kaufland Card XTRA Konto gutgeschrieben und können anschließend direkt für Prämien, exklusive Coupons, Treueartikel oder Partnervorteile verwendet werden. Treuepunkte, welche auf dem Online-Marktplatz Kaufland.de verdient wurden, werden zunächst als „vorgemerkt"" angezeigt und können erst nach 30 Tagen verwendet werden."
Kann ich Treuepunkte an andere Personen übertragen?​,"Nein, aktuell nicht."
Wo kann ich meinen Treuepunktestand einsehen?​,Du kannst deinen Treuepunktestand in der Kaufland-App oben rechts auf dem Startbildschirm einsehen. Alternativ findest du ihn auch auf unserem Online-Marktplatz Kaufland.de . oder in unserem Loyalty-Bereich . Außerdem hast du in der Kaufland-App und auf dem Online-Marktplatz Kaufland.de Zugriff auf deine vollständige Treuepunktehistorie.
Ich möchte einen Artikel beim Online-Marktplatz Kaufland.de zurückgeben. Was passiert mit den Treuepunkten?​,"Bei einer Bestellung auf unserem Online-Marktplatz Kaufland.de werden Treuepunkte zunächst als „vorgemerkt"" angezeigt und können erst nach 30 Tagen verwendet werden. Wenn eine Retoure oder Stornierung erfolgt, werden die Treuepunkte nicht gutgeschrieben."
"Was passiert mit meinen Treuepunkten, wenn ich das Kaufland Card XTRA Vorteilsprogramm verlasse?","Nach Beendigung der Mitgliedschaft werden die Daten gelöscht. Von Kaufland Card XTRA gewährte Vorteile, einschließlich die bis zu diesem Zeitpunkt gesammelten Treuepunkte, verfallen unwiderruflich."
Kann ich Klebepunkte und digitale Treuepunkte parallel sammeln?,"Nein, denn Kaufland Card XTRA Mitglieder sammeln automatisch beim Scannen von Kaufland Card XTRA beim Bezahlen an der Kasse digitale Treuepunkte. Und dabei gibt es folgende Vorteile: Mit Kaufland Card XTRA gibt es je ausgegebenen Euro einen digitalen Treuepunkt. Beim Sammeln von Klebepunkten gibt es einen Klebepunkt je 5 Euro Einkaufswert. Die digitalen Treuepunkte sind im Gegensatz zu Klebepunkten ein Jahr lang und aktionsübergreifend gültig. Das heißt zum Start einer neuen Treueaktion können mit bestehenden digitalen Treuepunkten ab dem ersten Tag neue Treueartikel gekauft werden."
Wie kann ich Treuepunkte einlösen und wofür?,"Du kannst deine Treuepunkte für verschiedene XTRA Vorteile in der Kaufland-App einlösen – zum Beispiel für Prämien, Coupons, Treueartikel oder Partnervorteile. Außerdem kannst du deine Treuepunkte auch für Coupons auf unserem Online-Marktplatz Kaufland.de einlösen."
"Gibt es eine Mindestanzahl an Treuepunkten, die ein Kunde einlösen ​muss?​",Je nach Vorteil variiert die Anzahl der benötigten Treuepunkte.
Was sind Gratis-Prämien?,"Gratis-Prämien (oder auch XTRA Prämien genannt) sind ausgewählte Artikel, die du im Prämienshop unter „Vorteile“ > „Gratis-Prämien“ findest. Du kannst sie ganz einfach mit Treuepunkten aktivieren und direkt in deiner Kaufland-Filiale beim Einkauf mitnehmen. Für die Einlösung muss ein bestimmter Einkaufswert erreicht und Kaufland Card XTRA an der Kasse gescannt werden. Dich erwartet eine vielfältige Auswahl – von beliebten Markenprodukten bis hin zu Artikeln unserer Eigenmarken."
"Muss ich Kaufland Card XTRA haben, um Prämien einlösen zu können?","Ja, um Prämien einlösen zu können, ist eine Mitgliedschaft bei Kaufland Card XTRA erforderlich."
Wie oft wechseln die Prämien?​,Die Prämien wechseln monatlich.
Wo sind die Prämien erhältlich und wie kann ich sie einlösen?​,"Die Gratis-Prämien findest du in der Kaufland-App über die Navigationsleiste unter „Vorteile“ und anschließend unter „Gratis-Prämien“. Aktiviere deine gewünschte Prämie mit den nötigen Treuepunkten, kaufe für mindestens zehn Euro ein, nimm sie direkt in der Kaufland-Filiale bei deinem nächsten Einkauf mit und scanne Kaufland Card XTRA an der Kasse. Ausgenommen vom zu erreichenden Einkaufswert i.H.v. 10 € sind Presse- und Verlagserzeugnisse, Tabakerzeugnisse, E-Zigaretten, Säuglingsanfangsnahrung, Gutschein-, Prepaid- und Telefonkarten, Münzautomaten Wertbons, Pfand und der Wert der Prämie sowie alle Produkte, die Kaufland ausschließlich aufgrund von Vermittlungs- und Kommissionsverträgen vertreibt."
Wie aktiviere ich eine Prämie?,Einfach in der Kaufland-App im Bereich „Gratis-Prämien“ die Prämie mit Treuepunkten aktivieren. Alternativ kannst du sie auch im Loyalty-Bereich aktivieren.
Kann ich mehrere Prämien mit Treuepunkten aktivieren?,"Ja. Je höher dein Treuepunktestand, desto mehr Prämien kannst du aktivieren."
Wie oft kann eine Prämie eingelöst werden?,Pro Einkauf kann eine Prämie nur einmal eingeöst werden. Beim nächsten Einkauf und nach erneuter Aktivierung mit Treuepunkten sowie Erreichen des erforderlichen Einkaufswertes kann die Prämie erneut eingelöst werden.
Kann ich mehrere Prämien innerhalb eines Einkaufs einlösen?,"Pro Einkauf können bei Erreichen des Mindesteinkaufswerts und abhängig vom eigenen Treuepunktestand unterschiedliche Prämien eingelöst werden, jedoch nur eine Prämie desselben Produkts."
Wie deaktiviere ich eine Prämie?,Eine aktivierte Prämie kannst du durch erneutes Anklicken wieder deaktivieren.
Kann ich aktivierte Prämien wieder deaktivieren und die Treuepunkte zurückbekommen?,"Ja. Aktivierte, nicht eingelöste Prämien können vor Ablauf der Prämiengültigkeit zurückgegeben werden. Dazu die aktivierten Prämien durch einen Klick deaktivieren. Die Treuepunkte werden automatisch gutgeschrieben."
"Was passiert, wenn eine Prämie abgelaufen ist und ich sie noch nicht eingelöst habe?","Jede Prämie hat eine begrenzte Gültigkeitsdauer. Eine abgelaufene Prämie kann nach dem Ablaufdatum nicht mehr eingelöst werden und verschwindet automatisch aus dem Prämienbereich. Die Rückerstattung von Treuepunkten nicht eingelöster, aber bereits aktivierter Prämien ist nur möglich, wenn die Prämie vor Ablauf der Gültigkeit durch erneutes Anklicken deaktiviert wurde."
"Gibt es Prämien, die ich sowohl in der Kaufland-Filiale als auch auf dem Online-Marktplatz Kaufland.de einlösen kann?",Nein. Die Prämien können nur in den Kaufland-Filialen eingelöst werden.
Wie erhalte ich die XTRA Rabatte mit Kaufland Card XTRA?,In den Kaufland-Filialen sind die Angebote für Kaufland Card XTRA Mitglieder mit einem Kaufland Card XTRA Logo am Regal gekennzeichnet. Scanne einfach in der Filiale Kaufland Card XTRA bei jedem Einkauf an der Kasse. Die Rabatte werden automatisch abgezogen.
Bei welchen Produkten gibt es Rabatte mit Kaufland Card XTRA?,"Die mit Kaufland Card XTRA vergünstigten Produkte wechseln regelmäßig. Die aktuellen Angebote findest du in der Kaufland-App, im Kaufland Card XTRA Newsletter, im Prospekt, auf dem Online-Marktplatz Kaufland.de , auf kaufland-xtra.de und in den Filialen (die rabattierten Artikel sind mit dem blauen Kaufland Card XTRA Logo gekennzeichnet). Über individuelle Angebote informieren wir dich, sofern du die Benachrichtigungs-Einwilligung erteilt hast, in der Kaufland-App und / oder über E-Mails."
Wem werden die digitalen Kassenbons angezeigt?,"Die digitalen Kassenbons werden in der Kaufland-App (seit Version 4.17) allen Nutzern angezeigt, die mit ihrem Kaufland Card XTRA Konto angemeldet sind. Wenn noch eine ältere Version der App genutzt wird, muss diese bitte im Play Store (Android), App Store (iOS) beziehungsweise in der AppGallery (Huawei) aktualisiert werden."
Warum wird an der Kasse kein Kassenbeleg mehr ausgedruckt?,"Wir haben für alle Nutzer mit einem digitalen Kaufland Card XTRA Konto die Funktion zum Einsparen des gedruckten Papierbons aktiviert. Alle Kassenbons sind in der Kaufland-App unter „Services“ – „Digitale Kassenbons“ zu finden. Alternativ kann der QR-Code von Kaufland Card XTRA in der Kaufland-App geöffnet und auf „Digitale Kassenbons“ geklickt werden. Sollte beim nächsten Einkauf ein gedruckter Kassenbon benötigt werden, einfach erneut den QR-Code von Kaufland Card XTRA in der Kaufland-App öffnen und den Schieberegler „Papierbon sparen“ vor dem Bezahlvorgang deaktivieren. Der Schieberegler kann jederzeit wieder auf aktiv gesetzt werden, wodurch wieder auf den gedruckten Papierbon verzichtet wird."
"Wo ist die Schaltfläche zu finden, um die Funktion „Papierbon sparen“ zu deaktivieren?","In der Kaufland-App beim QR-Code von Kaufland Card XTRA ist neben anderen Funktionen auch der Schieberegler (seit Version 4.17) zum Einsparen des Papierbons zu finden. Wenn noch eine ältere Version der App genutzt wird, muss diese bitte im Play Store (Android), App Store (iOS) bzw. in der AppGallery (Huawei) aktualisiert werden. Durch das Deaktivieren dieses Schiebereglers wird der Druck des Papier-Kassenbons wieder aktiviert."
